d,BD6,DF132,LD12,KD42
939,17709,18868,17087,18698
940,17707,18859,17082,18689
941,17694,18840,17066,18670
942,17671,18813,17040,18644
943,17638,18779,17006,18611
944,17599,18742,16966,18572
945,17553,18701,16922,18529
946,17503,18657,16874,18484
947,17451,18612,16825,18437
948,17398,18565,16774,18389
949,17345,18518,16723,18341
950,17294,18470,16673,18292
951,17246,18425,16624,18243
952,17203,18382,16579,18197
953,17166,18344,16539,18154
954,17134,18311,16504,18116
955,17107,18283,16476,18083
956,17085,18260,16454,18056
957,17066,18241,16436,18035
958,17051,18225,16424,18019
959,17040,18213,16415,18008
960,17032,18202,16409,18000
961,17027,18194,16406,17994
962,17026,18188,16405,17988
963,17026,18185,16404,17982
964,17028,18184,16402,17976
965,17029,18186,16401,17970
966,17029,18190,16399,17965
967,17029,18195,16397,17961
968,17030,18202,16396,17959
969,17031,18210,16397,17958
970,17035,18218,16399,17961
971,17039,18227,16402,17965
972,17044,18235,16405,17972
973,17050,18243,16409,17982
974,17056,18251,16413,17994
975,17063,18259,16418,18008
976,17071,18267,16425,18022
977,17080,18275,16433,18035
978,17089,18283,16443,18046
979,17097,18290,16453,18054
980,17105,18296,16464,18060
981,17114,18303,16475,18066
982,17124,18309,16487,18071
983,17136,18316,16498,18079
984,17149,18324,16511,18089
985,17164,18334,16525,18100
986,17180,18347,16541,18112
987,17195,18363,16557,18125
988,17208,18381,16575,18138
989,17221,18401,16593,18154
990,17233,18421,16611,18171
991,17247,18441,16629,18193
992,17263,18461,16649,18218
993,17283,18481,16672,18247
994,17307,18503,16697,18279
995,17335,18526,16726,18313
996,17365,18552,16757,18346
997,17398,18579,16788,18376
998,17431,18605,16819,18404
999,17464,18631,16848,18428
1000,17496,18655,16874,18449
1001,17526,18676,16897,18469
1002,17552,18694,16915,18487
1003,17574,18709,16930,18504
1004,17591,18720,16940,18520
1005,17602,18727,16948,18533
1006,17609,18730,16953,18543
1007,17614,18730,16956,18549
1008,17617,18729,16959,18552
1009,17619,18727,16961,18553
1010,17622,18728,16964,18552
1011,17625,18731,16967,18550
1012,17630,18738,16972,18549
1013,17637,18749,16977,18549
1014,17646,18761,16983,18551
1015,17658,18774,16990,18557
1016,17672,18787,16999,18565
1017,17686,18799,17009,18577
1018,17701,18810,17022,18593
1019,17717,18820,17035,18610
1020,17733,18830,17049,18629
1021,17747,18840,17062,18647
1022,17761,18851,17075,18664
1023,17773,18863,17085,18679
1024,17784,18876,17094,18692
1025,17793,18891,17103,18703
1026,17801,18907,17112,18714
1027,17810,18923,17123,18723
1028,17820,18938,17136,18733
1029,17831,18950,17151,18741
1030,17843,18960,17167,18749
1031,17856,18966,17184,18757
1032,17869,18972,17201,18767
1033,17882,18979,17217,18777
1034,17894,18988,17232,18789
1035,17907,19001,17246,18803
1036,17920,19016,17259,18818
1037,17933,19033,17272,18834
1038,17948,19050,17286,18851
1039,17964,19067,17302,18869
1040,17982,19084,17318,18887
1041,17999,19101,17337,18906
1042,18016,19118,17357,18924
1043,18033,19136,17377,18943
1044,18049,19155,17397,18961
1045,18065,19174,17417,18980
1046,18081,19192,17435,19000
1047,18097,19210,17452,19019
1048,18113,19225,17466,19037
1049,18127,19239,17478,19052
1050,18140,19251,17487,19063
1051,18150,19261,17493,19070
1052,18157,19270,17497,19072
1053,18160,19275,17498,19071
1054,18161,19276,17497,19066
1055,18159,19274,17493,19059
1056,18156,19267,17487,19050
1057,18151,19259,17481,19041
1058,18145,19248,17475,19033
1059,18139,19238,17469,19026
1060,18133,19229,17464,19022
1061,18128,19223,17461,19021
1062,18123,19219,17458,19024
1063,18122,19220,17459,19030
1064,18126,19225,17464,19038
1065,18135,19236,17473,19050
1066,18151,19254,17488,19064
